trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
170,False,"{'a': 0.01, 'e': 0.5882352941176471}",20,5,-3.0203057036147154,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
171,False,"{'a': 0.01, 'e': 0.5847953216374269}",30,-42,-89.9920163606707,"{0: 60, 1: 4, 2: 5, 3: 0, 4: 3}",0
172,False,"{'a': 0.01, 'e': 0.5813953488372093}",30,-7,-97.65502706835277,"{0: 24, 1: 2, 2: 9, 3: 2, 4: 0}",0
173,False,"{'a': 0.01, 'e': 0.5780346820809249}",20,1,-8.544125552724344,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
174,False,"{'a': 0.01, 'e': 0.5747126436781609}",20,-44,-177.68686367086653,"{0: 51, 1: 0, 2: 8, 3: 1, 4: 4}",0
175,False,"{'a': 0.01, 'e': 0.5714285714285714}",35,-14,-27.36133535415517,"{0: 43, 1: 0, 2: 4, 3: 1, 4: 1}",0
176,False,"{'a': 0.01, 'e': 0.5681818181818182}",25,-5,-1.2466028080321934,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
177,False,"{'a': 0.01, 'e': 0.5649717514124294}",20,10,-0.014801413957636012,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.01, 'e': 0.5617977528089888}",25,-61,-286.54165021987194,"{0: 63, 1: 7, 2: 9, 3: 1, 4: 6}",0
179,False,"{'a': 0.01, 'e': 0.5586592178770949}",20,-7,-96.21265676654012,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 2}",0
180,False,"{'a': 0.01, 'e': 0.5555555555555556}",25,-17,-100.5996697729625,"{0: 35, 1: 0, 2: 4, 3: 0, 4: 3}",0
181,False,"{'a': 0.01, 'e': 0.5524861878453039}",20,8,9.756228915583016,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
